"condition","rho","P_REF","mu2","alpha"
1,0.4,0.5,0.5,0.85
2,0.6,0.5,0.5,0.85
3,0.8,0.5,0.5,0.85
4,0.4,0.9,0.5,0.85
5,0.6,0.9,0.5,0.85
6,0.8,0.9,0.5,0.85
7,0.4,0.5,1,0.85
8,0.6,0.5,1,0.85
9,0.8,0.5,1,0.85
10,0.4,0.9,1,0.85
11,0.6,0.9,1,0.85
12,0.8,0.9,1,0.85
13,0.4,0.5,0.5,0.9
14,0.6,0.5,0.5,0.9
15,0.8,0.5,0.5,0.9
16,0.4,0.9,0.5,0.9
17,0.6,0.9,0.5,0.9
18,0.8,0.9,0.5,0.9
19,0.4,0.5,1,0.9
20,0.6,0.5,1,0.9
21,0.8,0.5,1,0.9
22,0.4,0.9,1,0.9
23,0.6,0.9,1,0.9
24,0.8,0.9,1,0.9
25,0.4,0.5,0.5,0.95
26,0.6,0.5,0.5,0.95
27,0.8,0.5,0.5,0.95
28,0.4,0.9,0.5,0.95
29,0.6,0.9,0.5,0.95
30,0.8,0.9,0.5,0.95
31,0.4,0.5,1,0.95
32,0.6,0.5,1,0.95
33,0.8,0.5,1,0.95
34,0.4,0.9,1,0.95
35,0.6,0.9,1,0.95
36,0.8,0.9,1,0.95
